"Sample","Dilution","Count","CFU_Count","Cq","Quantity","CFU_TaqMan","Date_Collected","Collected_By"
"ZH_3","N3.2",NA,NA,"23.83461709150587",51.3913660003112,17918886.3320471,"20241015","ZH"
"ZH_3","N3.2",NA,NA,"23.508618434370653",62.2702639243513,21712086.4450318,"20241015","ZH"
"ZH_3","N3.2",NA,NA,"23.555766236812595",60.5647997719914,21117433.6722425,"20241015","ZH"
"ZH_3","N4",NA,NA,"23.83461709150587",51.3913660003112,17918886.3320471,"20241015","ZH"
"ZH_3","N4",NA,NA,"23.508618434370653",62.2702639243513,21712086.4450318,"20241015","ZH"
"ZH_3","N4",NA,NA,"23.555766236812595",60.5647997719914,21117433.6722425,"20241015","ZH"
"ZH_3","N4.1",NA,NA,"23.83461709150587",51.3913660003112,17918886.3320471,"20241015","ZH"
"ZH_3","N4.1",NA,NA,"23.508618434370653",62.2702639243513,21712086.4450318,"20241015","ZH"
"ZH_3","N4.1",NA,NA,"23.555766236812595",60.5647997719914,21117433.6722425,"20241015","ZH"
"ZH_3","N4.2",NA,NA,"23.83461709150587",51.3913660003112,17918886.3320471,"20241015","ZH"
"ZH_3","N4.2",NA,NA,"23.508618434370653",62.2702639243513,21712086.4450318,"20241015","ZH"
"ZH_3","N4.2",NA,NA,"23.555766236812595",60.5647997719914,21117433.6722425,"20241015","ZH"
"ZH_3","N5",9,1.8e+07,"23.83461709150587",51.3913660003112,17918886.3320471,"20241015","ZH"
"ZH_3","N5",9,1.8e+07,"23.508618434370653",62.2702639243513,21712086.4450318,"20241015","ZH"
"ZH_3","N5",9,1.8e+07,"23.555766236812595",60.5647997719914,21117433.6722425,"20241015","ZH"
"ZH_3","N5.1",27,5.4e+07,"23.83461709150587",51.3913660003112,17918886.3320471,"20241015","ZH"
"ZH_3","N5.1",27,5.4e+07,"23.508618434370653",62.2702639243513,21712086.4450318,"20241015","ZH"
"ZH_3","N5.1",27,5.4e+07,"23.555766236812595",60.5647997719914,21117433.6722425,"20241015","ZH"
"ZH_3","N5.2",30,6e+07,"23.83461709150587",51.3913660003112,17918886.3320471,"20241015","ZH"
"ZH_3","N5.2",30,6e+07,"23.508618434370653",62.2702639243513,21712086.4450318,"20241015","ZH"
"ZH_3","N5.2",30,6e+07,"23.555766236812595",60.5647997719914,21117433.6722425,"20241015","ZH"
"ZH_4","N3",NA,NA,"28.313827366601743",3.67372766422985,1280937.12141905,"20241015","ZH"
"ZH_4","N3",NA,NA,"28.342780683434796",3.6116087151033,1259277.79466642,"20241015","ZH"
"ZH_4","N3",NA,NA,"28.264340653477817",3.78238448360639,1318823.04170376,"20241015","ZH"
"ZH_4","N3.1",NA,NA,"28.313827366601743",3.67372766422985,1280937.12141905,"20241015","ZH"
"ZH_4","N3.1",NA,NA,"28.342780683434796",3.6116087151033,1259277.79466642,"20241015","ZH"
"ZH_4","N3.1",NA,NA,"28.264340653477817",3.78238448360639,1318823.04170376,"20241015","ZH"
"ZH_4","N3.2",NA,NA,"28.313827366601743",3.67372766422985,1280937.12141905,"20241015","ZH"
"ZH_4","N3.2",NA,NA,"28.342780683434796",3.6116087151033,1259277.79466642,"20241015","ZH"
"ZH_4","N3.2",NA,NA,"28.264340653477817",3.78238448360639,1318823.04170376,"20241015","ZH"
"ZH_4","N4",8,1600000,"28.313827366601743",3.67372766422985,1280937.12141905,"20241015","ZH"
"ZH_4","N4",8,1600000,"28.342780683434796",3.6116087151033,1259277.79466642,"20241015","ZH"
"ZH_4","N4",8,1600000,"28.264340653477817",3.78238448360639,1318823.04170376,"20241015","ZH"
"ZH_4","N4.1",9,1800000,"28.313827366601743",3.67372766422985,1280937.12141905,"20241015","ZH"
"ZH_4","N4.1",9,1800000,"28.342780683434796",3.6116087151033,1259277.79466642,"20241015","ZH"
"ZH_4","N4.1",9,1800000,"28.264340653477817",3.78238448360639,1318823.04170376,"20241015","ZH"
"ZH_4","N4.2",8,1600000,"28.313827366601743",3.67372766422985,1280937.12141905,"20241015","ZH"
