"Sample","Dilution","Count","CFU_Count","Cq","Quantity","CFU_TaqMan","Date_Collected","Collected_By"
"Spleen_8","N2",5,25000,"31.849986313868108",0.144232779846753,15087.1108626311,"20241612","AN"
"Spleen_8","N2",5,25000,"31.57387092030409",0.169325154790057,17711.8362751106,"20241612","AN"
"Spleen_8","N2",5,25000,"31.64101258707953",0.162848287748056,17034.3397226,"20241612","AN"
"Spleen_8","N2",4,20000,"31.849986313868108",0.144232779846753,15087.1108626311,"20241612","AN"
"Spleen_8","N2",4,20000,"31.57387092030409",0.169325154790057,17711.8362751106,"20241612","AN"
"Spleen_8","N2",4,20000,"31.64101258707953",0.162848287748056,17034.3397226,"20241612","AN"
"Spleen_9","N2",11,55000,"29.58480041022792",0.537672495443233,56241.89282879,"20241612","AN"
"Spleen_9","N2",11,55000,"28.856163384467933",0.820986539346605,85877.2530697285,"20241612","AN"
"Spleen_9","N2",11,55000,"29.465860102388625",0.576134259142967,60265.0898685112,"20241612","AN"
"Spleen_9","N2",8,40000,"29.58480041022792",0.537672495443233,56241.89282879,"20241612","AN"
"Spleen_9","N2",8,40000,"28.856163384467933",0.820986539346605,85877.2530697285,"20241612","AN"
"Spleen_9","N2",8,40000,"29.465860102388625",0.576134259142967,60265.0898685112,"20241612","AN"
"Spleen_9","N2",15,75000,"29.58480041022792",0.537672495443233,56241.89282879,"20241612","AN"
"Spleen_9","N2",15,75000,"28.856163384467933",0.820986539346605,85877.2530697285,"20241612","AN"
"Spleen_9","N2",15,75000,"29.465860102388625",0.576134259142967,60265.0898685112,"20241612","AN"
"Spleen_9","N3",3,150000,"29.58480041022792",0.537672495443233,56241.89282879,"20241612","AN"
"Spleen_9","N3",3,150000,"28.856163384467933",0.820986539346605,85877.2530697285,"20241612","AN"
"Spleen_9","N3",3,150000,"29.465860102388625",0.576134259142967,60265.0898685112,"20241612","AN"
"Spleen_10","N2",14,70000,"29.964929018465284",0.431141861618013,45098.5210897503,"20241612","AN"
"Spleen_10","N2",14,70000,"30.347536517380384",0.345220993343271,36110.9825672878,"20241612","AN"
"Spleen_10","N2",14,70000,"30.667637937020466",0.286644119495802,29983.6945079291,"20241612","AN"
"Spleen_10","N2",9,45000,"29.964929018465284",0.431141861618013,45098.5210897503,"20241612","AN"
"Spleen_10","N2",9,45000,"30.347536517380384",0.345220993343271,36110.9825672878,"20241612","AN"
"Spleen_10","N2",9,45000,"30.667637937020466",0.286644119495802,29983.6945079291,"20241612","AN"
"Spleen_10","N2",14,70000,"29.964929018465284",0.431141861618013,45098.5210897503,"20241612","AN"
"Spleen_10","N2",14,70000,"30.347536517380384",0.345220993343271,36110.9825672878,"20241612","AN"
"Spleen_10","N2",14,70000,"30.667637937020466",0.286644119495802,29983.6945079291,"20241612","AN"
