"Sample","Cq","Quantity","CFU_TaqMan","Dilution","Count","CFU_Count","Date_Collected","Collected_By"
"PBS_2","30.76285117853204",1.12378506563507,235101.478166332,"N1",109,21800,"20240312","RB"
"PBS_2","30.76285117853204",1.12378506563507,235101.478166332,"N1.1",120,24000,"20240312","RB"
"PBS_2","30.76285117853204",1.12378506563507,235101.478166332,"N2",18,36000,"20240312","RB"
"PBS_2","30.76285117853204",1.12378506563507,235101.478166332,"N2.2",12,24000,"20240312","RB"
"PBS_3","31.580047114447837",0.685877866568823,143489.09342444,"N1",70,14000,"20240312","RB"
"PBS_3","31.580047114447837",0.685877866568823,143489.09342444,"N1.1",80,16000,"20240312","RB"
"PBS_3","31.580047114447837",0.685877866568823,143489.09342444,"N2",10,20000,"20240312","RB"
"PBS_3","31.580047114447837",0.685877866568823,143489.09342444,"N2.2",3,6000,"20240312","RB"
"PBS_4","31.311174006299225",0.806864284,168800.059414226,"N1",140,28000,"20240312","RB"
"PBS_4","31.311174006299225",0.806864284,168800.059414226,"N1.1",150,30000,"20240312","RB"
"PBS_4","31.311174006299225",0.806864284,168800.059414226,"N2",16,32000,"20240312","RB"
"PBS_4","31.311174006299225",0.806864284,168800.059414226,"N2.2",25,50000,"20240312","RB"
"PBS_5","31.631938095576913",0.664707110768675,139060.065014367,"N1",80,16000,"20240312","RB"
"PBS_5","31.631938095576913",0.664707110768675,139060.065014367,"N1.1",80,16000,"20240312","RB"
"PBS_5","31.631938095576913",0.664707110768675,139060.065014367,"N2",14,28000,"20240312","RB"
"PBS_5","31.631938095576913",0.664707110768675,139060.065014367,"N2.2",2,4000,"20240312","RB"
"PBS_6","32.59207360824392",0.372122360868105,77849.8662903985,"N1",70,14000,"20240312","RB"
"PBS_6","32.59207360824392",0.372122360868105,77849.8662903985,"N1.1",70,14000,"20240312","RB"
"PBS_6","32.59207360824392",0.372122360868105,77849.8662903985,"N2",6,12000,"20240312","RB"
"PBS_6","32.59207360824392",0.372122360868105,77849.8662903985,"N2.2",6,12000,"20240312","RB"
"PBS_7","32.68351826721148",0.352119610687645,73665.1905204278,"N1",75,15000,"20240312","RB"
"PBS_7","32.68351826721148",0.352119610687645,73665.1905204278,"N1.1",80,16000,"20240312","RB"
"PBS_7","32.68351826721148",0.352119610687645,73665.1905204278,"N2",9,18000,"20240312","RB"
"PBS_7","32.68351826721148",0.352119610687645,73665.1905204278,"N2.2",5,10000,"20240312","RB"
"IgG1_1","30.15482670062495",1.62267686658076,339472.147820242,"N1",160,32000,"20240312","RB"
"IgG1_1","30.15482670062495",1.62267686658076,339472.147820242,"N1.1",160,32000,"20240312","RB"
"IgG1_1","30.15482670062495",1.62267686658076,339472.147820242,"N2",19,38000,"20240312","RB"
"IgG1_1","30.15482670062495",1.62267686658076,339472.147820242,"N2.2",12,24000,"20240312","RB"
"IgG1_2","32.401083594034624",0.417640437126094,87372.4763862121,"N1",91,18200,"20240312","RB"
"IgG1_2","32.401083594034624",0.417640437126094,87372.4763862121,"N1.1",110,22000,"20240312","RB"
"IgG1_2","32.401083594034624",0.417640437126094,87372.4763862121,"N2",6,12000,"20240312","RB"
"IgG1_2","32.401083594034624",0.417640437126094,87372.4763862121,"N2.2",13,26000,"20240312","RB"
"IgG1_3","30.496395120836134",1.3200874827919,276168.929454372,"N1",180,36000,"20240312","RB"
"IgG1_3","30.496395120836134",1.3200874827919,276168.929454372,"N1.1",165,33000,"20240312","RB"
"IgG1_3","30.496395120836134",1.3200874827919,276168.929454372,"N2",17,34000,"20240312","RB"
"IgG1_3","30.496395120836134",1.3200874827919,276168.929454372,"N2.2",24,48000,"20240312","RB"
"IgG1_4","30.64280418",1.20832626072088,252787.920652903,"N1",130,26000,"20240312","RB"
"IgG1_4","30.64280418",1.20832626072088,252787.920652903,"N1.1",133,26600,"20240312","RB"
"IgG1_4","30.64280418",1.20832626072088,252787.920652903,"N2",17,34000,"20240312","RB"
"IgG1_4","30.64280418",1.20832626072088,252787.920652903,"N2.2",15,30000,"20240312","RB"
"IgG1_5","30.473725000552797",1.3382938143422,279977.785427239,"N1",140,28000,"20240312","RB"
"IgG1_5","30.473725000552797",1.3382938143422,279977.785427239,"N1.1",133,26600,"20240312","RB"
"IgG1_5","30.473725000552797",1.3382938143422,279977.785427239,"N2",18,36000,"20240312","RB"
"IgG1_5","30.473725000552797",1.3382938143422,279977.785427239,"N2.2",11,22000,"20240312","RB"
"IgG1_6","30.533502315244924",1.29081972149867,270045.966840726,"N1",150,30000,"20240312","RB"
"IgG1_6","30.533502315244924",1.29081972149867,270045.966840726,"N1.1",160,32000,"20240312","RB"
"IgG1_6","30.533502315244924",1.29081972149867,270045.966840726,"N2",16,32000,"20240312","RB"
"IgG1_6","30.533502315244924",1.29081972149867,270045.966840726,"N2.2",14,28000,"20240312","RB"
"IgG1_7","30.993633560227934",0.977517987932398,204501.671115564,"N1",NA,NA,"20240312","RB"
"IgG1_7","30.993633560227934",0.977517987932398,204501.671115564,"N1.1",NA,NA,"20240312","RB"
"IgG1_7","30.993633560227934",0.977517987932398,204501.671115564,"N2",15,30000,"20240312","RB"
"IgG1_7","30.993633560227934",0.977517987932398,204501.671115564,"N2.2",11,22000,"20240312","RB"
"IgG1_8","31.372786438723523",0.777379472826352,162631.688875806,"N1",90,18000,"20240312","RB"
"IgG1_8","31.372786438723523",0.777379472826352,162631.688875806,"N1.1",90,18000,"20240312","RB"
"IgG1_8","31.372786438723523",0.777379472826352,162631.688875806,"N2",12,24000,"20240312","RB"
"IgG1_8","31.372786438723523",0.777379472826352,162631.688875806,"N2.2",5,10000,"20240312","RB"
"IgG1_1","30.301674016751512",1.48490457222606,310649.492097501,"N1",160,32000,"20240312","RB"
"IgG1_1","30.301674016751512",1.48490457222606,310649.492097501,"N1.1",160,32000,"20240312","RB"
"IgG1_1","30.301674016751512",1.48490457222606,310649.492097501,"N2",19,38000,"20240312","RB"
"IgG1_1","30.301674016751512",1.48490457222606,310649.492097501,"N2.2",12,24000,"20240312","RB"
"IgG1_2","32.92065086570153",0.305116282704157,63831.8583063089,"N1",91,18200,"20240312","RB"
"IgG1_2","32.92065086570153",0.305116282704157,63831.8583063089,"N1.1",110,22000,"20240312","RB"
"IgG1_2","32.92065086570153",0.305116282704157,63831.8583063089,"N2",6,12000,"20240312","RB"
"IgG1_2","32.92065086570153",0.305116282704157,63831.8583063089,"N2.2",13,26000,"20240312","RB"
"IgG1_3","30.386629610988443",1.41060608934253,295105.876431491,"N1",180,36000,"20240312","RB"
"IgG1_3","30.386629610988443",1.41060608934253,295105.876431491,"N1.1",165,33000,"20240312","RB"
"IgG1_3","30.386629610988443",1.41060608934253,295105.876431491,"N2",17,34000,"20240312","RB"
"IgG1_3","30.386629610988443",1.41060608934253,295105.876431491,"N2.2",24,48000,"20240312","RB"
"IgG1_4","31.21117701073667",0.857117226855392,179313.227375605,"N1",130,26000,"20240312","RB"
"IgG1_4","31.21117701073667",0.857117226855392,179313.227375605,"N1.1",133,26600,"20240312","RB"
